epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
170,0.178386,0.155669,0.267782,0.196682,0.147313,0.129824,0.120378,0.116144,0.111560
171,0.176283,0.159029,0.283587,0.204806,0.150389,0.131478,0.119966,0.113703,0.109273
172,0.179830,0.164325,0.289351,0.212122,0.158865,0.135332,0.123409,0.117678,0.113516
173,0.175782,0.157398,0.264869,0.200449,0.150256,0.132860,0.122320,0.117475,0.113558
174,0.180859,0.157010,0.271258,0.198293,0.148001,0.131509,0.120567,0.116422,0.113021
175,0.179685,0.154904,0.268697,0.200555,0.145630,0.128013,0.117942,0.114126,0.109366
176,0.182179,0.161280,0.286723,0.209221,0.154421,0.132806,0.121310,0.114631,0.109848
177,0.175249,0.161797,0.280044,0.204008,0.152692,0.135433,0.124067,0.121035,0.115303
178,0.178566,0.166534,0.260037,0.204593,0.160275,0.145200,0.136384,0.132417,0.126836
179,0.178567,0.155481,0.273103,0.198265,0.147573,0.129229,0.118674,0.113385,0.108136
180,0.182362,0.186430,0.270761,0.225794,0.178537,0.166555,0.158921,0.154423,0.150016
181,0.179920,0.159501,0.289715,0.204375,0.151014,0.130523,0.119468,0.113101,0.108309
182,0.176846,0.156329,0.273464,0.200691,0.148568,0.129810,0.118819,0.114170,0.108781
183,0.177628,0.159588,0.276600,0.203606,0.152387,0.132741,0.122422,0.117340,0.112021
184,0.178197,0.161762,0.267912,0.208549,0.157882,0.138355,0.126459,0.119713,0.113466
185,0.175993,0.162362,0.268478,0.205495,0.156393,0.138523,0.128234,0.122880,0.116533
186,0.171377,0.193109,0.261230,0.226546,0.190624,0.176895,0.170026,0.166217,0.160227
187,0.175435,0.154672,0.265285,0.197376,0.147658,0.129697,0.119665,0.114188,0.108838
188,0.179056,0.160698,0.269656,0.200112,0.153992,0.135496,0.126618,0.122738,0.116277
189,0.180743,0.154788,0.263242,0.198051,0.149790,0.129713,0.120178,0.114198,0.108345
190,0.176907,0.154582,0.266813,0.197982,0.147159,0.128186,0.119096,0.114076,0.108762
191,0.175926,0.155124,0.259530,0.195408,0.147908,0.130963,0.121868,0.117896,0.112297
192,0.175007,0.154493,0.264416,0.194068,0.147075,0.129110,0.120202,0.116156,0.110425
193,0.179132,0.157946,0.279650,0.200124,0.148526,0.129292,0.121175,0.116024,0.110831
194,0.175088,0.155602,0.267570,0.197647,0.148328,0.129118,0.120137,0.115410,0.111007
195,0.174813,0.153247,0.264709,0.193351,0.146013,0.128187,0.119127,0.113378,0.107962
196,0.176616,0.151786,0.259302,0.192870,0.143506,0.127515,0.118249,0.113101,0.107958
197,0.176717,0.168331,0.254086,0.201628,0.161595,0.147294,0.141354,0.139266,0.133092
198,0.171670,0.153480,0.261034,0.195691,0.146297,0.127727,0.119864,0.114907,0.108840
199,0.175396,0.157496,0.273135,0.201160,0.150663,0.131524,0.120989,0.115118,0.109880
200,0.170944,0.163263,0.274281,0.203794,0.154977,0.136985,0.128128,0.125227,0.119448
